Seed,Model,Outlier_Mode,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
1,ExtraTrees,none,218,55,0.8060643344692154,0.13617977913874652,0.7733901271902377,135.70469946520564,40.07514872727272
1,KNN,none,218,55,0.8185897332174934,0.06669653158924202,0.7097266569406576,153.58862464941217,46.33481237845723
1,Ridge,none,218,55,0.8109458809327034,0.18190014332279733,0.7060834667201918,154.5494565678538,49.00251864357824
1,MLP,none,218,55,0.7035311262900891,0.21145976867925034,0.6994804001264192,156.27585189597312,47.69063583347467
1,RandomForest,iqr_remove,165,55,0.7273626405399993,0.11912276469477459,0.09162089494921488,271.6996268547517,88.87466072727265
1,ExtraTrees,iqr_remove,165,55,0.7165058624081894,0.13946025125317058,0.09001851287553875,271.93916053699763,88.76368654545443
1,KNN,iqr_remove,165,55,0.6182465792407787,0.13077251472399395,0.004458571834643821,284.43637997214205,97.58840910592274
1,Ridge,iqr_remove,165,55,0.6227751393456269,0.10565908851964734,0.44768040172406476,211.86084541372125,67.07398152486857
1,MLP,iqr_remove,165,55,0.5886981833806845,0.16404343563620494,0.4824981437677912,205.0743907594306,61.750311001757076
1,RandomForest,winsorize_1_99,218,55,0.7941154700642902,0.23128730780043907,0.7765577723905922,134.75289376675826,45.43005527272731
1,ExtraTrees,winsorize_1_99,218,55,0.8062548074223976,0.2094860567192338,0.7738064411822098,135.57998791584063,40.622688727272696
1,KNN,winsorize_1_99,218,55,0.8043806571402727,0.1229837581378137,0.6741595983474459,162.7263713843395,51.01719174323946
1,Ridge,winsorize_1_99,218,55,0.8006969167668754,0.21654999912291437,0.7258756280581553,149.25514093979632,55.135262305331445
1,MLP,winsorize_1_99,218,55,0.6789876674997897,0.24282240489222426,0.729268282790277,148.3286496500535,48.284730213709466
2,RandomForest,none,218,55,0.6244773932968881,0.4411988249598726,0.9051650900241585,35.038309192175795,19.452418909090987
2,ExtraTrees,none,218,55,0.7315379355324512,0.21979209481561882,0.9126763452947207,33.62211075259836,17.84268363636367
2,KNN,none,218,55,0.7597911718554688,0.08151820713254128,0.8664764167399175,41.575550832114736,21.265436367915427
2,Ridge,none,218,55,0.7782379836762878,0.11537640544530099,0.7884317183858529,52.33404480674342,31.269324581750304
2,MLP,none,218,55,0.7495587713576886,0.16377242936430983,0.6573412914094046,66.60240464889196,38.170285317094724
2,RandomForest,iqr_remove,164,55,0.6963156663032732,0.130685945971284,0.47461545540214434,82.47031796481767,31.879707636363573
2,ExtraTrees,iqr_remove,164,55,0.7118723773389516,0.15391167793573446,0.5014872017831813,80.33359061043762,31.75960909090906
2,KNN,iqr_remove,164,55,0.6523443048416115,0.08984680688544601,0.3751151620704404,89.94127010155044,36.333752339872525
2,Ridge,iqr_remove,164,55,0.693569513280174,0.1782713227798033,0.8780526962124285,39.732429721701834,23.077547999398245
2,MLP,iqr_remove,164,55,0.6318639147094662,0.1295989918538477,0.7528139956499931,56.56801784769863,30.972268008587317
2,RandomForest,winsorize_1_99,218,55,0.6019903516475545,0.4991831376037968,0.9022630042791457,35.57038085604876,19.697179636363717
2,ExtraTrees,winsorize_1_99,218,55,0.6978838908550041,0.3050699386109051,0.9115601352568533,33.83631484695506,18.02221127272736
2,KNN,winsorize_1_99,218,55,0.7433114015038603,0.11165318105251121,0.8900195869049894,37.73259688604284,21.176866808784546
2,Ridge,winsorize_1_99,218,55,0.7188461211000796,0.19348193564575655,0.7132789619399242,60.92405516936724,34.39027007760751
2,MLP,winsorize_1_99,218,55,0.6836421548736886,0.20919283080548765,0.7531956211823789,56.52433386432473,30.811048648932662
3,RandomForest,none,218,55,0.49288267209290676,0.6279229563326173,0.7524708640651543,89.77337792536194,35.24842145454545
3,ExtraTrees,none,218,55,0.6892068415658622,0.2999343382819192,0.8038296949911158,79.919183373752,33.86921709090897
3,KNN,none,218,55,0.7054066697484912,0.14733051887462104,0.8829538798485208,61.7323649545472,29.661603828306088
3,Ridge,none,218,55,0.6728044289426686,0.3103153420888856,0.7980322576705645,81.09151407481457,38.51818809437428
3,MLP,none,218,55,0.758065477564633,0.17750054131745002,0.704029590767882,98.16542482171738,50.10169066244108
3,RandomForest,iqr_remove,160,55,0.7414084173692445,0.09585856355797889,0.25873381242251337,155.35366350967755,46.42665381818177
3,ExtraTrees,iqr_remove,160,55,0.7558925290892038,0.0573182494871024,0.2869537121901399,152.3678240621237,46.72703163636359
3,KNN,iqr_remove,160,55,0.6651857049995217,0.1078787856212142,0.15510134976825385,165.8581099521496,51.066879516326885
3,Ridge,iqr_remove,160,55,0.672550510561391,0.12512204763939588,0.6352037300828048,108.98321072096543,37.46814176015314
3,MLP,iqr_remove,160,55,0.6050499863265915,0.16101453187600595,0.6240048230084267,110.6434071487017,42.10319957605861
3,RandomForest,winsorize_1_99,218,55,0.4586751063051125,0.7166664356068287,0.7613705843536621,88.1447383140098,34.77941345454541
3,ExtraTrees,winsorize_1_99,218,55,0.615163813166603,0.45198317491194234,0.7751123093829992,85.56915557106268,35.02376145454541
