pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
2.7,27000.0,3200.0,37000.0,820000.0,17.97974292413858,-6.257632695012195,-98.50567938004995,203.74613736373755,-23.070161295868168
3.0,40000.0,4200.0,44000.0,700000.0,18.346640167143835,-6.423421452249914,-88.43086979041301,224.75261535399557,-23.74888931391306
2.3872,312000.0,19000.0,16000.0,1300000.0,12.69555562575572,4.600726741636865,26.824903614520018,53.73054673163151,3.8584289470177575
2.8,97000.0,30000.0,56000.0,1100000.0,31.937857854444296,12.246200902336286,264.5533369393501,287.42612281215605,-13.995547792170273
5.81,10500.0,2200.0,300.0,232000.0,-1.1728635251724466,-1.4855360179476271,-39.94334569607817,-45.33401323115577,-4.387157556549158
5.84,22000.0,3220.0,480.0,292000.0,-1.1068516525311678,-1.3122945570808227,-37.49485235135208,-42.5130566408372,-4.557825055632375
4.59,420.0,1420.0,8000.0,170000.0,9.604267000753454,-1.4746614929030262,-55.489220056971604,15.373351525392081,-7.400205769725115
4.2,160.0,1100.0,4200.0,165000.0,8.898965382384894,-1.7431963004212503,-51.15722212890372,-20.151599218022767,-8.235835588804724
3.6,220.0,1120.0,4300.0,168000.0,10.86963385362607,-1.895189315506782,-52.472282017658834,-20.980772292036683,-7.801087927725707
3.42,6600.0,4460.0,2300.0,310000.0,10.455075538018798,-2.1607197322257443,-41.552891135722476,-30.608544900781993,-5.573969177289085
6.0,18800.0,1960.0,110.0,75200.0,-4.348077630040625,-1.7144579660583281,-41.42576170353595,-51.74070142430356,-5.338341731694502
5.86,11100.0,1920.0,0.0,203000.0,-3.8333261082941683,-1.7283307868679278,-41.54278078789335,-57.23928569714709,-4.572159250562737
3.42,4400.0,1510.0,12700.0,173000.0,13.502983352315761,-0.7708877233672833,-66.17829930090885,45.40822268913771,-10.57250981602599
2.7,200000.0,8150.0,4500.0,1090000.0,15.147586396520301,3.1485465881706514,-34.06267850399243,-27.86792691055961,4.375624864034705
5.6,77200.0,62000.0,2570.0,2380000.0,-80.80983360490629,11.78868232014457,610.8620450847942,-115.24845576953807,-5.388161506107977
3.64,3760.0,29300.0,22600.0,981000.0,18.33113553785812,-6.730555151226894,292.3184989407648,162.5417559580471,-4.186436616944427
2.6,18900.0,14800.0,35800.0,1340000.0,33.13545148618643,-1.2887652052471046,65.53487461072615,332.93533278124113,34.8665419479712
4.4,1310.0,20600.0,8680.0,1200000.0,14.63232411399643,-1.2327310797119302,79.16657390989334,24.200277279594935,5.831529174885089
3.55,517469.93439999945,18400.0,33600.0,5255999.999999967,17.58332965035686,28.067742743449987,55.44635047255915,293.86468258240285,38.239335672108275
